Time,Distance
0,0
10,9.89437e-06
20,20.8515
30,20.8515
40,20.8515
50,20.8515
60,20.8515
70,20.8515
80,20.8515
90,0
100,0
110,9.89437e-06
120,9.89437e-06
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0.00672829
220,0.0239225
230,0.0470996
240,0.0717649
250,0.0934416
260,0.107648
270,0.109886
280,0.0956799
290,0.0605565
300,0
310,1.40524
320,1.29111
330,1.15656
340,1.0065
350,0.845576
360,0.678107
370,0.507748
380,0.337275
390,0.168113
400,0
410,0.184904
420,0.399608
430,0.636845
440,0.888081
450,1.1441
460,20.4866
470,20.5359
480,20.5783
490,20.6134
500,0
510,0.167899
520,0.442475
530,0.776249
540,1.11341
550,1.39692
560,1.56952
570,1.5739
580,1.35244
590,0.847218
600,0
610,18.3283
620,17.3231
630,16.0416
640,14.486
650,12.6734
660,10.6384
670,8.43261
680,6.12201
690,3.78239
700,0
710,21.7051
720,20.5108
730,18.9288
740,17.0278
750,14.9451
760,12.87
770,7.07418
780,5.73487
790,0.53801
800,0
810,0.41085
820,18.3092
830,17.0046
840,15.1921
850,12.9225
860,10.302
870,7.49265
880,4.69612
890,2.12925
900,0
910,1.99292
920,4.18026
930,6.41072
940,8.53766
950,10.4311
960,11.9867
970,18.7443
980,18.2073
990,0.606074
1000,0
1010,1.59594
1020,4.17231
1030,7.4416
1040,11.0295
1050,14.5136
1060,17.5077
1070,19.7538
1080,21.1824
1090,21.9097
1100,0
1110,1.4743
1120,2.5524
1130,6.39032
1140,5.99179
1150,11.9509
1160,12.256
1170,12.7958
1180,13.5082
1190,1.18671
1200,0
1210,16.1987
1220,17.5078
1230,18.9309
1240,20.3152
1250,21.5336
1260,22.4995
1270,23.1757
1280,23.5754
1290,23.7545
1300,0
1310,0.847513
1320,1.33886
1330,1.53733
1340,2.16188
1350,2.03212
1360,1.85653
1370,1.69921
1380,0.334883
1390,0.0941884
1400,0
1410,3.13404
1420,4.69382
1430,4.72716
1440,4.78597
1450,4.85678
1460,1.50604
1470,4.92191
1480,1.33886
1490,0.84752
1500,0
1510,1.42619
1520,3.47995
1530,5.94865
1540,8.60352
1550,9.01944
1560,6.39116
1570,3.95324
1580,1.93547
1590,0.552377
1600,0
1610,0.396174
1620,23.7399
1630,23.5412
1640,23.0911
1650,22.324
1660,21.2418
1670,19.9246
1680,18.5233
1690,1.33737
1700,0
1710,0.807179
1720,1.31498
1730,0.0747563
1740,0.119603
1750,0
1760,1.25527
1770,0.941643
1780,0.896828
1790,0.269101
1800,0
1810,0.287039
1820,0.681657
1830,1.15672
1840,1.68502
1850,2.23931
1860,2.79233
1870,3.31719
1880,0.681662
1890,0.287058
1900,0
1910,0.199645
1920,0.367087
1930,1.34267
1940,0.648348
1950,0.749537
1960,0.800682
1970,0.777894
1980,0.655107
1990,0.405086
2000,0
2010,0.595928
2020,1.38984
2030,2.34319
2040,3.40466
2050,5.4598
2060,4.38686
2070,3.29765
2080,2.20636
2090,1.1128
2100,0
2110,1.39934
2120,3.20943
2130,10.0495
2140,7.31538
2150,5.29009
2160,3.4074
2170,1.85634
2180,0.822445
2190,0.386822
2200,0
2210,0.995066
2220,2.68611
2230,4.92843
2240,7.55483
2250,10.3803
2260,13.2087
2270,15.8483
2280,18.4684
2290,20.1013
2300,0
2310,3.45082
2320,7.23225
2330,11.174
2340,18.4552
2350,9.75235
2360,6.81257
2370,5.21959
2380,4.50372
2390,7.43086
2400,0
2410,0.766115
2420,12.9898
2430,12.2278
2440,10.8862
2450,9.07591
2460,6.21866
2470,4.74951
2480,2.68857
2490,1.02611
2500,0
2510,1.83594
2520,3.95791
2530,2.17291
2540,4.10242
2550,4.02607
2560,3.87487
2570,3.67334
2580,3.4534
2590,3.64355
2600,0
2610,11.1179
2620,9.05884
2630,7.8064
2640,6.38976
2650,4.89997
2660,3.43886
2670,2.11369
2680,1.03157
2690,0.295904
2700,0
2710,0.967403
2720,0.314883
2730,0.754044
2740,2.01884
2750,3.43428
2760,6.02552
2770,6.27882
2780,1.81106
2790,0.741009
2800,0
2810,0.496381
2820,2.52341
2830,2.68992
2840,2.77591
2850,1.57412
2860,2.68276
2870,2.49456
2880,0.915957
2890,0.5102
2900,0
2910,0.726858
2920,1.73216
2930,2.94177
2940,4.27709
2950,5.65811
2960,2.99652
2970,2.84326
2980,1.64844
2990,0.67501
3000,0
3010,0.380412
3020,1.74094
3030,0.616933
3040,2.15974
3050,0.80187
3060,1.05594
3070,0.687497
