Time,Entropy
0,2.83346
10,2.84021
20,2.84003
30,2.83633
40,2.82997
50,2.82559
60,2.80643
70,2.8
80,2.80198
90,2.80865
100,2.80873
110,2.80386
120,2.81498
130,2.81936
140,2.82032
150,2.82617
160,2.83022
170,2.83488
180,2.83612
190,2.83371
200,2.83235
210,2.83041
220,2.82985
230,2.8372
240,2.83644
250,2.83173
260,2.83837
270,2.83606
280,2.83958
290,2.83661
300,2.82351
310,2.8171
320,2.81705
330,2.82081
340,2.82241
350,2.79259
360,2.78372
370,2.7792
380,2.78648
390,2.82383
400,2.84328
410,2.80169
420,2.71859
430,2.72732
440,2.73375
450,2.73828
460,2.7421
470,2.72458
480,2.75041
490,2.79354
500,2.78686
510,2.75074
520,2.71072
530,2.68793
540,2.67614
550,2.6749
560,2.6692
570,2.67159
580,2.6546
590,2.70335
600,2.76247
610,2.71872
620,2.72783
630,2.69634
640,2.69164
650,2.52668
660,2.3459
670,2.22395
680,2.38269
690,2.74633
700,2.82079
710,2.75261
720,2.76307
730,2.68568
740,2.21054
750,2.50143
760,2.65746
770,2.73907
780,2.8484
790,2.86268
800,2.86871
810,2.82913
820,2.83517
830,2.75817
840,2.68006
850,2.59636
860,2.24257
870,2.60829
880,2.72111
890,2.84069
900,2.93768
910,2.88905
920,2.83526
930,2.67034
940,2.70321
950,2.78391
960,2.87922
970,2.86563
980,2.91195
990,2.91159
1000,2.9392
1010,2.90068
1020,2.8518
1030,2.82364
1040,2.89716
1050,2.81229
1060,2.66634
1070,2.57282
1080,2.73154
1090,2.92901
1100,2.94214
1110,2.86253
1120,2.82588
1130,2.79882
1140,2.7475
1150,2.77263
1160,2.77364
1170,2.8556
1180,2.8573
1190,2.91299
1200,2.95772
1210,2.88971
1220,2.79921
1230,2.70191
1240,2.55675
1250,2.26679
1260,2.58316
1270,2.71435
1280,2.78402
1290,2.8999
1300,2.94018
1310,2.91172
1320,2.89999
1330,2.89748
1340,2.89635
1350,2.89065
1360,2.88763
1370,2.8943
1380,2.93016
1390,2.92062
1400,2.92157
1410,2.89755
1420,2.89616
1430,2.87391
1440,2.84409
1450,2.83566
1460,2.83884
1470,2.80974
1480,2.80154
1490,2.83039
1500,2.87377
1510,2.83635
1520,2.73218
1530,2.66091
1540,2.50628
1550,2.42678
1560,2.66065
1570,2.68065
1580,2.76101
1590,2.87326
1600,2.88491
