Time,X,Y,Z
0,-6.99308,-1.56631,9.62515
10,-6.96528,-1.5824,9.64266
20,-6.93232,-1.59967,9.66354
30,-6.89442,-1.61807,9.68756
40,-6.85182,-1.63758,9.71447
50,-6.80474,-1.65818,9.74402
60,-6.7534,-1.67982,9.77598
70,-6.69802,-1.70248,9.8101
80,-6.63883,-1.72613,9.84614
90,-6.57606,-1.75073,9.88384
100,-6.50994,-1.77625,9.92298
110,-6.4407,-1.80266,9.96332
120,-6.36859,-1.82992,10.0046
130,-6.29384,-1.858,10.0467
140,-6.21669,-1.88686,10.0892
150,-6.13741,-1.91647,10.1321
160,-6.05625,-1.94679,10.1751
170,-5.97346,-1.97777,10.2179
180,-5.88933,-2.00939,10.2605
190,-5.8041,-2.0416,10.3026
200,-5.71808,-2.07436,10.3441
210,-5.63153,-2.10763,10.3848
220,-5.54474,-2.14137,10.4245
230,-5.458,-2.17554,10.4631
240,-5.37162,-2.21009,10.5005
250,-5.28588,-2.24499,10.5366
260,-5.2011,-2.28018,10.5712
270,-5.11757,-2.31563,10.6042
280,-5.03561,-2.35129,10.6355
290,-4.95553,-2.38711,10.6651
300,-4.87764,-2.42307,10.6929
310,-4.80227,-2.45911,10.7187
320,-4.72972,-2.49519,10.7426
330,-4.66032,-2.53126,10.7645
340,-4.59438,-2.56729,10.7843
350,-4.53223,-2.60324,10.8019
360,-4.47419,-2.63906,10.8174
370,-4.42057,-2.67471,10.8307
380,-4.37169,-2.71016,10.8417
390,-4.32786,-2.74536,10.8505
400,-4.28941,-2.78028,10.8568
410,-4.25664,-2.81488,10.8608
420,-4.22986,-2.84911,10.8624
430,-4.20937,-2.88296,10.8614
440,-4.19549,-2.91637,10.8578
450,-4.18849,-2.94931,10.8516
460,-4.18869,-2.98176,10.8427
470,-4.19636,-3.01366,10.8309
480,-4.21178,-3.045,10.8161
490,-4.23523,-3.07573,10.7983
500,-4.26697,-3.10583,10.7771
510,-4.3049,-3.13668,10.7531
520,-4.3467,-3.16964,10.7266
530,-4.3923,-3.20458,10.6976
540,-4.44164,-3.24136,10.6661
550,-4.49464,-3.27988,10.6321
560,-4.55124,-3.31999,10.5955
570,-4.61136,-3.3616,10.5563
580,-4.67492,-3.40456,10.5145
590,-4.74184,-3.44876,10.47
600,-4.81206,-3.49407,10.4228
610,-4.88548,-3.54037,10.3729
620,-4.96202,-3.58754,10.3203
630,-5.04161,-3.63545,10.2648
640,-5.12416,-3.68397,10.2064
650,-5.20959,-3.73298,10.1452
660,-5.29782,-3.78233,10.081
670,-5.38876,-3.83192,10.0139
680,-5.48233,-3.88159,9.9437
690,-5.57845,-3.93122,9.87048
700,-5.67703,-3.98067,9.79416
710,-5.77799,-4.0298,9.71471
720,-5.88124,-4.07847,9.63209
730,-5.98671,-4.12653,9.54626
740,-6.09431,-4.17384,9.45719
750,-6.20396,-4.22025,9.36485
760,-6.31557,-4.26561,9.2692
770,-6.42907,-4.30976,9.17022
780,-6.54437,-4.35255,9.06789
790,-6.66139,-4.39382,8.96216
800,-6.78004,-4.4334,8.85303
810,-6.90025,-4.47112,8.74046
820,-7.02192,-4.50683,8.62444
830,-7.14499,-4.54035,8.50496
840,-7.26936,-4.57149,8.382
850,-7.39494,-4.60009,8.25554
860,-7.52166,-4.62596,8.12559
870,-7.64942,-4.64892,7.99212
880,-7.77813,-4.66878,7.85514
890,-7.9077,-4.68535,7.71465
900,-8.03805,-4.69842,7.57064
910,-8.16906,-4.70781,7.42313
920,-8.30065,-4.71332,7.27213
930,-8.43271,-4.71474,7.11763
940,-8.56513,-4.71185,6.95967
950,-8.6978,-4.70445,6.79826
960,-8.83061,-4.69233,6.63343
970,-8.96343,-4.67527,6.4652
980,-9.09614,-4.65304,6.2936
990,-9.22861,-4.62542,6.11868
1000,-9.36069,-4.5922,5.94047
1010,-9.49459,-4.55212,5.75595
1020,-9.63202,-4.50415,5.56208
1030,-9.77211,-4.44838,5.3589
1040,-9.91396,-4.3849,5.14646
1050,-10.0567,-4.31382,4.92486
