Time,Entropy
0,2.83346
10,2.8406
20,2.84655
30,2.85077
40,2.84575
50,2.8467
60,2.84772
70,2.83741
80,2.83261
90,2.80865
100,2.80873
110,2.80424
120,2.81536
130,2.81974
140,2.82069
150,2.82654
160,2.83022
170,2.83524
180,2.83648
190,2.83371
200,2.83235
210,2.83108
220,2.82944
230,2.82939
240,2.82881
250,2.82588
260,2.83631
270,2.84079
280,2.82924
290,2.82564
300,2.82351
310,2.82525
320,2.8291
330,2.83062
340,2.84412
350,2.85989
360,2.85537
370,2.85351
380,2.85108
390,2.83938
400,2.84328
410,2.83391
420,2.82152
430,2.80841
440,2.80235
450,2.78655
460,2.78281
470,2.78252
480,2.78349
490,2.79005
500,2.78686
510,2.78783
520,2.78877
530,2.78646
540,2.79104
550,2.78714
560,2.78855
570,2.78036
580,2.77548
590,2.76503
600,2.76247
610,2.76828
620,2.76933
630,2.78008
640,2.79752
650,2.79405
660,2.80762
670,2.81514
680,2.81547
690,2.8251
700,2.82079
710,2.82784
720,2.83874
730,2.85216
740,2.85195
750,2.85441
760,2.84593
770,2.84224
780,2.85104
790,2.85816
800,2.86871
810,2.87539
820,2.88131
830,2.89388
840,2.90386
850,2.91118
860,2.91648
870,2.92733
880,2.93884
890,2.9348
900,2.93768
910,2.94406
920,2.94522
930,2.94833
940,2.94547
950,2.94367
960,2.9351
970,2.93518
980,2.93647
990,2.93825
1000,2.9392
1010,2.93995
1020,2.94074
1030,2.9452
1040,2.95555
1050,2.95515
1060,2.95313
1070,2.94371
1080,2.94126
1090,2.94384
1100,2.94214
1110,2.94294
1120,2.94173
1130,2.94086
1140,2.94228
1150,2.94613
1160,2.9545
1170,2.95704
1180,2.95993
1190,2.95796
1200,2.95772
1210,2.96023
1220,2.9727
1230,2.97405
1240,2.96991
1250,2.95582
1260,2.95627
1270,2.95425
1280,2.95134
1290,2.94227
1300,2.94018
1310,2.93887
1320,2.93604
1330,2.93971
1340,2.93357
1350,2.92822
1360,2.92446
1370,2.92248
1380,2.93033
1390,2.92809
1400,2.92157
1410,2.91565
1420,2.91433
1430,2.90746
1440,2.89593
1450,2.89077
1460,2.88478
1470,2.87372
1480,2.86413
1490,2.86919
1500,2.87377
1510,2.85861
1520,2.8557
1530,2.85155
1540,2.83654
1550,2.84161
1560,2.86895
1570,2.89106
1580,2.89486
1590,2.88768
1600,2.88491
1610,2.88443
1620,2.8764
1630,2.86692
1640,2.8645
1650,2.85632
1660,2.83558
1670,2.82391
1680,2.81545
1690,2.81499
1700,2.81757
