Time,X,Y,Z
0,-6.99308,-1.56631,9.62515
10,-6.99308,-1.56631,9.62515
20,-4.3797,-1.56631,-11.0619
30,-4.3797,-1.56631,-11.0619
40,-4.3797,-1.56631,-11.0619
50,-4.3797,-1.56631,-11.0619
60,-4.3797,-1.56631,-11.0619
70,-4.3797,-1.56631,-11.0619
80,-4.3797,-1.56631,-11.0619
90,-6.99308,-1.56631,9.62515
100,-6.99308,-1.56631,9.62515
110,-6.99308,-1.56631,9.62515
120,-6.99308,-1.56631,9.62515
130,-6.99308,-1.56631,9.62515
140,-6.99308,-1.56631,9.62515
150,-6.99308,-1.56631,9.62515
160,-6.99308,-1.56631,9.62515
170,-6.99308,-1.56631,9.62515
180,-6.99308,-1.56631,9.62515
190,-6.99308,-1.56631,9.62515
200,-6.99308,-1.56631,9.62515
210,-6.99308,-1.56631,9.62515
220,-6.99308,-1.56631,9.62515
230,-6.99308,-1.56631,9.62515
240,-6.99308,-1.56631,9.62515
250,-6.99308,-1.56631,9.62515
260,-6.99308,-1.56631,9.62515
270,-6.99308,-1.56631,9.62515
280,-6.99308,-1.56631,9.62515
290,-6.99308,-1.56631,9.62515
300,-6.99308,-1.56631,9.62515
310,-5.73159,-1.56631,10.4257
320,-5.73159,-1.56631,10.4257
330,-5.73159,-1.56631,10.4257
340,-5.73159,-1.56631,10.4257
350,-5.73159,-1.56631,10.4257
360,-5.73159,-1.56631,10.4257
370,-5.73159,-1.56631,10.4257
380,-5.73159,-1.56631,10.4257
390,-5.73159,-1.56631,10.4257
400,-5.73159,-1.56631,10.4257
410,-5.73159,-1.56631,10.4257
420,-5.73159,-1.56631,10.4257
430,-5.73159,-1.56631,10.4257
440,-5.73159,-1.56631,10.4257
450,-5.73159,-1.56631,10.4257
460,-6.99308,-1.56631,-9.62515
470,-6.99308,-1.56631,-9.62515
480,-6.99308,-1.56631,-9.62515
490,-6.99308,-1.56631,-9.62515
500,-4.26697,-3.10583,10.7771
510,-4.26697,-3.10583,10.7771
520,-4.26697,-3.10583,10.7771
530,-4.26697,-3.10583,10.7771
540,-4.26697,-3.10583,10.7771
550,-4.26697,-3.10583,10.7771
560,-4.26697,-3.10583,10.7771
570,-4.26697,-3.10583,10.7771
580,-4.26697,-3.10583,10.7771
590,-4.26697,-3.10583,10.7771
600,-4.26697,-3.10583,10.7771
610,-9.16706,-1.56631,-7.58365
620,-9.16706,-1.56631,-7.58365
630,-9.16706,-1.56631,-7.58365
640,-9.16706,-1.56631,-7.58365
650,-9.16706,-1.56631,-7.58365
660,-9.16706,-1.56631,-7.58365
670,-9.16706,-1.56631,-7.58365
680,-9.16706,-1.56631,-7.58365
690,-9.16706,-1.56631,-7.58365
700,-10.0453,-1.56631,-6.37492
710,10.3718,6,-0.652538
720,10.3718,6,-0.652538
730,10.3718,6,-0.652538
740,10.3718,6,-0.652538
750,10.3718,6,-0.652538
760,10.3718,6,-0.652538
770,10.0314,4.5922,-4.72042
780,10.0314,4.5922,-4.72042
790,10.1319,-5.24537e-07,-6.42992
800,10.1319,-5.24537e-07,-6.42992
810,10.1319,-5.24537e-07,-6.42992
820,-8.9311,-3.10583,-7.38845
830,-8.9311,-3.10583,-7.38845
840,-8.9311,-3.10583,-7.38845
850,-8.9311,-3.10583,-7.38845
860,-8.9311,-3.10583,-7.38845
870,-8.9311,-3.10583,-7.38845
880,-8.9311,-3.10583,-7.38845
890,-8.9311,-3.10583,-7.38845
900,-8.9311,-3.10583,-7.38845
910,-8.9311,-3.10583,-7.38845
920,-8.9311,-3.10583,-7.38845
930,-8.9311,-3.10583,-7.38845
940,-8.9311,-3.10583,-7.38845
950,-8.9311,-3.10583,-7.38845
960,-8.9311,-3.10583,-7.38845
970,8.9311,-3.10583,7.38845
980,8.9311,-3.10583,7.38845
990,-9.36069,-4.5922,5.94047
1000,-9.36069,-4.5922,5.94047
1010,-9.36069,-4.5922,5.94047
1020,-9.36069,-4.5922,5.94047
1030,-9.36069,-4.5922,5.94047
1040,-9.36069,-4.5922,5.94047
1050,-9.36069,-4.5922,5.94047
1060,-9.36069,-4.5922,5.94047
1070,-9.36069,-4.5922,5.94047
1080,-9.36069,-4.5922,5.94047
1090,-9.36069,-4.5922,5.94047
1100,9.36069,-4.5922,-5.94047
1110,9.36069,-4.5922,-5.94047
1120,9.36069,-4.5922,-5.94047
1130,9.16706,1.56631,-7.58365
1140,9.16706,1.56631,-7.58365
1150,9.16706,1.56631,7.58365
1160,9.16706,1.56631,7.58365
1170,9.16706,1.56631,7.58365
1180,9.16706,1.56631,7.58365
1190,9.16706,1.56631,-7.58365
1200,9.16706,1.56631,-7.58365
1210,9.16706,1.56631,7.58365
1220,9.16706,1.56631,7.58365
1230,9.16706,1.56631,7.58365
1240,9.16706,1.56631,7.58365
1250,9.16706,1.56631,7.58365
1260,9.16706,1.56631,7.58365
1270,9.16706,1.56631,7.58365
1280,9.16706,1.56631,7.58365
1290,9.16706,1.56631,7.58365
1300,-9.16706,1.56631,-7.58365
1310,-9.16706,1.56631,-7.58365
1320,-9.16706,1.56631,-7.58365
1330,-9.16706,1.56631,-7.58365
1340,-8.9311,3.10583,-7.38845
1350,-8.9311,3.10583,-7.38845
1360,-8.9311,3.10583,-7.38845
1370,-8.9311,3.10583,-7.38845
1380,-9.16706,1.56631,-7.58365
1390,-9.16706,1.56631,-7.58365
1400,-9.16706,1.56631,-7.58365
1410,-9.16706,-1.56631,-7.58365
1420,-8.9311,-3.10583,-7.38845
1430,-8.9311,-3.10583,-7.38845
1440,-8.9311,-3.10583,-7.38845
