Time,Distance
0,0
10,0
20,20.8515
30,20.8515
40,20.8515
50,20.8515
60,20.8515
70,20.8515
80,20.8515
90,0
100,9.89437e-06
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,1.39613
320,1.30043
330,1.2075
340,1.11803
350,1.03295
360,0.95344
370,0.881007
380,0.817525
390,0.765283
400,0.726697
410,0.70399
420,0.698714
430,0.711285
440,0.740774
450,0.785293
460,20.0386
470,20.0844
480,20.1298
490,20.1748
500,1.11532
510,1.00386
520,0.892345
530,0.780859
540,0.669325
550,0.557811
560,0.446252
570,0.334696
580,0.22313
590,0.111556
600,0
610,18.6243
620,18.1646
630,17.6872
640,17.1927
650,16.6814
660,16.154
670,15.611
680,15.0529
690,14.4803
700,12.6822
710,23.3079
720,23.4364
730,23.5456
740,23.6351
750,23.7049
760,23.7547
770,23.6845
780,23.5687
790,22.8665
800,22.6507
810,22.413
820,5.76518
830,5.05707
840,4.34391
850,3.62648
860,2.90547
870,2.18166
880,1.45562
890,0.72817
900,0
910,0.714754
920,1.42887
930,2.1417
940,2.85263
950,3.56103
960,4.26627
970,22.9034
980,22.7848
990,18.1475
1000,18.5989
1010,19.034
1020,19.4521
1030,19.8532
1040,20.2366
1050,20.6021
1060,20.9494
1070,21.2781
1080,21.588
1090,21.8786
1100,9.339
1110,8.89509
1120,8.46966
1130,4.96764
1140,4.26627
1150,17.7546
1160,17.267
1170,16.764
1180,16.2461
1190,0.714753
1200,0
1210,15.6983
1220,16.2158
1230,16.7193
1240,17.2085
1250,17.6829
1260,18.1421
1270,18.5857
1280,19.0133
1290,19.4245
1300,13.1678
1310,12.5811
1320,11.9836
1330,11.3757
1340,10.7342
1350,10.1225
1360,9.50325
1370,8.87721
1380,8.20067
1390,7.54228
1400,6.87744
1410,6.95237
1420,7.1918
1430,6.69601
1440,6.2306
1450,5.80468
1460,2.78439
1470,5.11663
1480,1.3946
1490,0.697602
1500,0
1510,0.0498358
1520,0.0996741
1530,0.149516
1540,0.199347
1550,18.1743
1560,18.1421
1570,18.1098
1580,18.0774
1590,18.045
1600,18.0124
1610,17.9799
1620,15.6232
1630,15.6608
1640,15.6983
1650,15.7357
1660,15.7731
1670,15.8103
1680,15.8475
1690,0.548147
1700,0.498318
1710,0.448496
1720,0.398667
1730,1.14577
1740,1.19555
1750,1.24532
1760,0.199337
1770,0.149508
1780,1.39459
1790,0.0498364
1800,0
1810,0.317656
1820,0.635258
1830,0.95275
1840,1.27008
1850,1.58718
1860,1.904
1870,2.22049
1880,4.80063
1890,4.92919
1900,5.07301
1910,5.23077
1920,5.40112
1930,6.75718
1940,5.77463
1950,5.9755
1960,6.18437
1970,6.40035
1980,6.62259
1990,6.85034
2000,7.08289
2010,7.31965
2020,7.56007
2030,7.80363
2040,8.0499
2050,1.58718
2060,1.27008
2070,0.952754
2080,0.635261
2090,0.317664
2100,0
2110,0.7958
2120,1.58958
2130,15.3238
2140,14.543
2150,14.6901
2160,14.8003
2170,14.8732
2180,14.9088
2190,14.9069
2200,14.8676
2210,14.7909
2220,14.6769
2230,14.5261
2240,14.3389
2250,14.1156
2260,13.8568
2270,13.5633
2280,11.9673
2290,11.6232
2300,21.3381
2310,22.135
2320,21.989
2330,22.266
2340,4.70458
2350,5.89188
2360,6.48375
2370,7.06858
2380,1.58958
2390,8.20325
2400,0
2410,0.169914
2420,12.4187
