Time,Entropy
0,2.83346
10,2.84021
20,2.83988
30,2.83633
40,2.82997
50,2.82559
60,2.80604
70,2.8
80,2.80196
90,2.80827
100,2.80836
110,2.80424
120,2.81498
130,2.81936
140,2.82032
150,2.82617
160,2.82985
170,2.83488
180,2.83612
190,2.83371
200,2.83199
210,2.83072
220,2.82909
230,2.82903
240,2.82845
250,2.82552
260,2.83596
270,2.84044
280,2.82888
290,2.82528
300,2.82351
310,2.8183
320,2.77919
330,2.77219
340,2.77381
350,2.80847
360,2.80231
370,2.80325
380,2.81061
390,2.79861
400,2.80606
410,2.79962
420,2.78896
430,2.77322
440,2.75776
450,2.73541
460,2.71087
470,2.70686
480,2.70205
490,2.70131
500,2.69479
510,2.70384
520,2.70694
530,2.71751
540,2.7303
550,2.7419
560,2.75393
570,2.76154
580,2.76518
590,2.7594
600,2.76247
610,2.71143
620,2.71771
630,2.72704
640,2.72991
650,2.69591
660,2.72328
670,2.7255
680,2.71681
690,2.75275
700,2.73911
710,2.74709
720,2.71982
730,2.69607
740,2.69022
750,2.68785
760,2.70874
770,2.63754
780,2.63646
790,2.5177
800,2.53718
810,2.49214
820,2.58069
830,2.6197
840,2.6572
850,2.71639
860,2.77282
870,2.81835
880,2.8761
890,2.90934
900,2.93768
910,2.92034
920,2.88225
930,2.8272
940,2.8198
950,2.76997
960,2.69454
970,2.71711
980,2.73157
990,2.70953
1000,2.66644
1010,2.50253
1020,2.39187
1030,2.24968
1040,2.15787
1050,2.00019
1060,2.16956
1070,2.32997
1080,2.40205
1090,2.52125
1100,2.66602
1110,2.66757
1120,2.70309
1130,2.6842
1140,2.69306
1150,2.75314
1160,2.80794
1170,2.85253
1180,2.87832
1190,2.95932
1200,2.95772
1210,2.94822
1220,2.8891
1230,2.83054
1240,2.80129
1250,2.74794
1260,2.67634
1270,2.66058
1280,2.67609
1290,2.67089
1300,2.69001
1310,2.62338
1320,2.4639
1330,2.38865
1340,2.32242
1350,2.33114
1360,2.32333
1370,2.43009
1380,2.46931
1390,2.57254
1400,2.64404
1410,2.6607
1420,2.68256
1430,2.67236
1440,2.66809
1450,2.75373
1460,2.77135
1470,2.79208
1480,2.82575
1490,2.85595
1500,2.87377
1510,2.86064
1520,2.85871
1530,2.84848
1540,2.83517
1550,2.82165
1560,2.82395
1570,2.82966
1580,2.83586
1590,2.83221
1600,2.82193
