Time,X,Y,Z
0,-6.99308,-1.56631,9.62515
10,-6.99308,-1.56631,9.62515
20,-6.99308,-1.56631,9.62515
30,-6.99308,-1.56632,9.62515
40,-6.99308,-1.56631,9.62515
50,-6.99308,-1.56631,9.62515
60,-6.99308,-1.56632,9.62515
70,-6.99308,-1.56631,9.62515
80,-6.99308,-1.56632,9.62515
90,-6.99308,-1.56631,9.62515
100,-6.99308,-1.56632,9.62515
110,-6.99308,-1.56631,9.62515
120,-6.99308,-1.56631,9.62515
130,-6.99308,-1.56631,9.62515
140,-6.99308,-1.56631,9.62515
150,-6.99308,-1.56631,9.62515
160,-6.99308,-1.56631,9.62515
170,-6.99308,-1.56631,9.62515
180,-6.99308,-1.56631,9.62515
190,-6.99308,-1.56631,9.62515
200,-6.99308,-1.56631,9.62515
210,-6.99308,-1.56631,9.62515
220,-6.99308,-1.56631,9.62515
230,-6.99308,-1.56631,9.62515
240,-6.99308,-1.56631,9.62515
250,-6.99308,-1.56631,9.62515
260,-6.99308,-1.56631,9.62515
270,-6.99308,-1.56631,9.62515
280,-6.99308,-1.56631,9.62515
290,-6.99308,-1.56631,9.62515
300,-6.99308,-1.56631,9.62515
310,-6.90899,-1.61796,9.6772
320,-6.82435,-1.66963,9.72834
330,-6.73919,-1.72132,9.77857
340,-6.65349,-1.77301,9.82789
350,-6.56728,-1.82472,9.8763
360,-6.48056,-1.87642,9.92378
370,-6.39334,-1.92812,9.97034
380,-6.30562,-1.97981,10.016
390,-6.21742,-2.0315,10.0607
400,-6.12873,-2.08316,10.1044
410,-6.03958,-2.1348,10.1472
420,-5.94996,-2.18642,10.1891
430,-5.85989,-2.238,10.23
440,-5.76937,-2.28955,10.27
450,-5.67841,-2.34106,10.309
460,-5.58702,-2.39253,10.347
470,-5.49521,-2.44395,10.3841
480,-5.40299,-2.49531,10.4202
490,-5.31035,-2.54661,10.4554
500,-5.21733,-2.59786,10.4895
510,-5.12391,-2.64903,10.5227
520,-5.0301,-2.70014,10.555
530,-4.93593,-2.75116,10.5862
540,-4.84139,-2.80211,10.6165
550,-4.7465,-2.85297,10.6457
560,-4.65125,-2.90374,10.674
570,-4.55567,-2.95441,10.7013
580,-4.45976,-3.00499,10.7276
590,-4.36352,-3.05546,10.7529
600,-4.26697,-3.10583,10.7771
610,-4.93526,-3.10583,10.488
620,-5.58406,-3.10583,10.1574
630,-6.21083,-3.10583,9.7867
640,-6.81308,-3.10583,9.37741
650,-7.38845,-3.10583,8.9311
660,-7.93466,-3.10583,8.44955
670,-8.44956,-3.10583,7.93466
680,-8.9311,-3.10583,7.38845
690,-9.37741,-3.10583,6.81308
700,-9.7867,-3.10583,6.21083
710,-10.1574,-3.10583,5.58406
720,-10.4879,-3.10583,4.93525
730,-10.7771,-3.10583,4.26697
740,-11.0238,-3.10583,3.58185
750,-11.227,-3.10583,2.88259
760,-11.3858,-3.10583,2.17196
770,-11.4997,-3.10583,1.45275
780,-11.5682,-3.10583,0.727809
790,-11.5911,-3.10583,-1.66893e-06
800,-11.5682,-3.10583,-0.727813
810,-11.4997,-3.10583,-1.45275
820,-11.3858,-3.10583,-2.17196
830,-11.227,-3.10583,-2.88259
840,-11.0238,-3.10583,-3.58185
850,-10.7771,-3.10583,-4.26697
860,-10.4879,-3.10583,-4.93526
870,-10.1574,-3.10583,-5.58406
880,-9.7867,-3.10583,-6.21083
890,-9.37741,-3.10583,-6.81309
900,-8.9311,-3.10583,-7.38845
910,-8.48804,-2.99145,-7.93753
920,-8.01405,-2.86909,-8.45833
930,-7.51083,-2.73918,-8.94899
940,-6.98015,-2.60218,-9.40777
950,-6.42391,-2.45858,-9.83304
960,-5.8441,-2.3089,-10.2233
970,-5.24279,-2.15367,-10.5771
980,-4.6221,-1.99344,-10.8932
990,-3.98425,-1.82877,-11.1706
1000,-3.33153,-1.66027,-11.4081
1010,-2.66624,-1.48852,-11.605
1020,-1.99077,-1.31414,-11.7605
1030,-1.30751,-1.13775,-11.8742
1040,-0.618905,-0.959988,-11.9455
1050,0.072594,-0.781474,-11.9743
1060,0.764526,-0.602848,-11.9604
1070,1.45442,-0.424747,-11.904
1080,2.13983,-0.247806,-11.8051
1090,2.8183,-0.0726555,-11.6641
1100,3.48742,0.100083,-11.4816
1110,4.14481,0.269792,-11.2582
1120,4.78812,0.435868,-10.9947
1130,5.41507,0.597717,-10.692
1140,6.02341,0.754761,-10.3513
1150,6.61098,0.906448,-9.97363
1160,7.1757,1.05223,-9.56045
1170,7.71553,1.19159,-9.11321
1180,8.22857,1.32404,-8.63351
1190,8.71299,1.44909,-8.12305
1200,9.16706,1.56631,-7.58365
1210,8.70683,1.56631,-8.10789
1220,8.21666,1.56631,-8.60426
1230,7.69824,1.56631,-9.07104
1240,7.15336,1.56631,-9.50663
1250,6.58389,1.56631,-9.90954
1260,5.99178,1.56631,-10.2784
1270,5.37907,1.56631,-10.6119
1280,4.74786,1.56631,-10.9089
1290,4.10033,1.56631,-11.1684
1300,3.43871,1.56631,-11.3896
1310,2.76526,1.56631,-11.5715
1320,2.08231,1.56631,-11.7137
1330,1.3922,1.56631,-11.8156
1340,0.697297,1.56631,-11.8769
1350,6.54991e-07,1.56631,-11.8973
1360,-0.697296,1.56631,-11.8769
1370,-1.39219,1.56631,-11.8156
1380,-2.08231,1.56631,-11.7137
1390,-2.76526,1.56631,-11.5715
1400,-3.43871,1.56631,-11.3896
1410,-4.10033,1.56631,-11.1684
1420,-4.74786,1.56631,-10.9089
1430,-5.37906,1.56631,-10.6119
