Time,Distance
0,0
10,0.00179814
20,20.8489
30,20.8458
40,20.8418
50,20.837
60,20.8315
70,20.8253
80,20.8188
90,0.105436
100,0.123966
110,0.142501
120,0.160664
130,0.17808
140,0.194382
150,0.209193
160,0.222146
170,0.232872
180,0.240987
190,0.246133
200,0.24793
210,0.246009
220,0.24
230,0.229529
240,0.214217
250,0.193695
260,0.167611
270,0.135564
280,0.0971906
290,0.0521266
300,0
310,1.42816
320,1.33168
330,1.2084
340,1.06255
350,0.899427
360,0.726765
370,0.558968
380,0.428775
390,0.400008
400,0.503405
410,0.68609
420,0.901445
430,1.12845
440,1.357
450,1.58094
460,20.7933
470,20.8766
480,20.9498
490,21.0121
500,0.878996
510,0.937491
520,0.978356
530,0.994168
540,0.979101
550,0.92831
560,0.83755
570,0.702914
580,0.520757
590,0.28759
600,0
610,18.8577
620,18.6139
630,18.334
640,18.0175
650,17.6641
660,17.2733
670,16.845
680,16.3793
690,15.8765
700,14.1955
710,22.9234
720,23.1093
730,23.2787
740,23.4289
750,23.5575
760,23.6624
770,23.8527
780,23.7592
790,23.11
800,22.8881
810,22.6353
820,6.35491
830,5.52758
840,4.70146
850,3.8807
860,3.06944
870,2.27175
880,1.4917
890,0.733175
900,0
910,0.741364
920,1.52329
930,2.34009
940,3.18591
950,4.05468
960,4.94027
970,22.6233
980,22.4145
990,18.8969
1000,19.4447
1010,19.9631
1020,20.4493
1030,20.9008
1040,21.3156
1050,21.6929
1060,22.0322
1070,22.3338
1080,22.5986
1090,22.828
1100,7.05155
1110,6.76049
1120,6.53862
1130,2.14272
1140,1.62424
1150,16.0102
1160,15.7259
1170,15.4943
1180,15.3207
1190,0.0820825
1200,0
1210,15.2041
1220,15.3261
1230,15.5264
1240,15.7973
1250,16.1308
1260,16.518
1270,16.95
1280,17.4176
1290,17.9114
1300,14.98
1310,14.3149
1320,13.5998
1330,12.8389
1340,11.9311
1350,11.1111
1360,10.2656
1370,9.40234
1380,8.55782
1390,7.6573
1400,6.76143
1410,6.77143
1420,6.95019
1430,6.36626
1440,5.86246
1450,5.44899
1460,1.9854
1470,4.90783
1480,0.830067
1490,0.370675
1500,0
1510,0.299551
1520,0.552164
1530,0.760575
1540,0.927554
1550,18.9746
1560,19.0234
1570,19.0508
1580,19.0584
1590,19.0479
1600,19.0209
1610,18.9789
1620,14.328
1630,14.4065
1640,14.4989
1650,14.6031
1660,14.7171
1670,14.8388
1680,14.9664
1690,1.65885
1700,1.50506
1710,1.35057
1720,1.19678
1730,0.931067
1740,1.02577
1750,1.12108
1760,0.602316
1770,0.457233
1780,1.37288
1790,0.159262
1800,0
1810,0.174397
1820,0.37193
1830,0.595669
1840,0.846413
1850,1.12343
1860,1.425
1870,1.74876
1880,5.29887
1890,5.53688
1900,5.7922
1910,6.06063
1920,6.33809
1930,7.57677
1940,6.90448
1950,7.18607
1960,7.46207
1970,7.72942
1980,7.9853
1990,8.22719
2000,8.45282
2010,8.66025
2020,8.84782
2030,9.01422
2040,9.15849
2050,1.96425
2060,1.60957
2070,1.23967
2080,0.850741
2090,0.438865
2100,0
2110,0.486765
2120,1.03576
2130,14.724
2140,13.8307
2150,13.8795
2160,13.9135
2170,13.9272
2180,13.9155
2190,13.874
2200,13.7986
2210,13.6864
2220,13.535
2230,13.3434
2240,13.1113
2250,12.8398
2260,12.5307
2270,12.1872
2280,10.5142
2290,10.1425
2300,21.8319
2310,22.5892
2320,22.3752
2330,22.5839
2340,3.14333
2350,6.70353
2360,7.20451
2370,7.65933
2380,0.853474
2390,8.4306
2400,0
2410,0.345059
2420,13.011
2430,13.2193
2440,13.3901
2450,13.5265
2460,12.5779
2470,13.7059
2480,13.7534
2490,13.7753
2500,13.7734
2510,12.7676
2520,11.0902
2530,12.6948
2540,10.996
2550,10.9275
2560,10.8473
2570,10.7575
2580,10.6601
2590,9.70189
2600,11.9335
2610,1.23403
2620,1.57796
2630,1.30315
2640,1.0439
2650,0.803793
2660,0.586304
2670,0.394718
2680,0.231953
2690,0.100184
2700,0
2710,1.17006
2720,1.15274
2730,1.14166
2740,1.13522
2750,1.1321
2760,0.295352
2770,1.13223
2780,10.2066
2790,10.2093
2800,10.2121
2810,10.2151
2820,9.67395
2830,9.68129
2840,9.68921
2850,10.7715
2860,9.70592
2870,9.71427
2880,10.791
2890,10.7968
2900,10.8019
2910,10.8061
2920,10.8092
2930,10.8112
2940,10.8117
2950,10.8105
2960,1.242
2970,0.0595724
2980,0.0482203
2990,0.0286566
3000,0
3010,0.0328901
3020,1.17138
3030,0.0998019
3040,1.70172
3050,0.175348
3060,0.217564
3070,1.30779
3080,1.77979
3090,1.26859
3100,1.72724
3110,1.69977
3120,1.3522
3130,1.37992
3140,1.40637
3150,1.43084
3160,1.45274
3170,1.47156
3180,0.88022
3190,0.942883
3200,1.50594
3210,1.23024
3220,1.14561
3230,1.05034
3240,0.94342
3250,0.823832
3260,0.690535
3270,0.542532
3280,1.66841
3290,1.49551
3300,0
3310,0.222763
3320,0.474721
3330,0.753783
3340,2.77495
3350,3.0444
3360,3.34524
3370,5.8564
3380,5.55884
3390,5.82979
3400,4.94326
3410,4.63263
3420,4.32599
3430,4.02844
3440,3.74601
3450,3.48568
3460,3.25497
3470,3.06215
3480,2.9149
3490,2.81946
3500,2.77892
3510,2.79226
3520,2.85447
3530,2.95724
3540,1.40424
3550,1.40897
3560,1.4851
3570,2.46546
3580,2.70238
3590,2.92027
3600,0
3610,0.201636
3620,0.396174
3630,0.583264
3640,0.762528
3650,0.933598
3660,1.0961
3670,2.14392
3680,1.39382
3690,2.35063
3700,1.65253
3710,0.474671
3720,1.03353
3730,0.961765
3740,0.902219
3750,0.854304
3760,0.817142
3770,2.14947
3780,0.770924
3790,0.75999
3800,2.24543
3810,2.2305
3820,2.20045
3830,2.15491
3840,2.09356
3850,2.01617
3860,1.91844
3870,0.462767
3880,0.327694
3890,0.173612
3900,0
3910,0.207643
3920,0.461244
3930,0.757344
3940,1.09242
3950,1.46284
3960,0.940237
3970,1.28743
3980,2.74895
3990,3.22316
4000,3.71362
4010,5.22883
4020,5.73492
4030,6.24817
4040,4.70769
4050,5.2338
4060,5.7548
4070,6.26674
4080,5.11829
4090,4.62202
4100,4.13863
4110,3.67216
4120,3.2267
4130,3.70474
4140,2.41527
4150,2.96319
4160,2.64693
4170,1.4596
4180,1.22779
4190,0.145509
4200,0
4210,1.86158
4220,1.67969
4230,2.04134
4240,3.28783
4250,3.29209
4260,3.28648
4270,3.27442
4280,6.60881
4290,6.46319
4300,6.29863
4310,6.1169
4320,5.91982
4330,5.70927
4340,5.48715
4350,5.25547
4360,5.01626
