Time,Entropy
0,2.83346
10,2.84204
20,2.84097
30,2.83349
40,2.8223
50,2.81868
60,2.80399
70,2.80894
80,2.8092
90,2.81226
100,2.81652
110,2.8177
120,2.83227
130,2.82827
140,2.8267
150,2.82447
160,2.82543
170,2.81779
180,2.81569
190,2.80859
200,2.81541
210,2.81411
220,2.80498
230,2.80598
240,2.80913
250,2.80977
260,2.80755
270,2.79969
280,2.80504
290,2.81571
300,2.82351
310,2.82393
320,2.8134
330,2.80125
340,2.7661
350,2.75302
360,2.75064
370,2.76803
380,2.76775
390,2.76445
400,2.75943
410,2.72463
420,2.73207
430,2.73265
440,2.74826
450,2.75999
460,2.75688
470,2.72597
480,2.7055
490,2.7425
500,2.71671
510,2.69084
520,2.70348
530,2.70214
540,2.72919
550,2.73886
560,2.74576
570,2.72419
580,2.70617
590,2.73319
600,2.76247
610,2.74203
620,2.70024
630,2.71688
640,2.71759
650,2.72594
660,2.72817
670,2.73498
680,2.72927
690,2.74905
700,2.76239
710,2.78809
720,2.76991
730,2.77125
740,2.76082
750,2.76576
760,2.74449
770,2.71278
780,2.69731
790,2.64193
800,2.47299
810,2.53536
820,2.57119
830,2.60646
840,2.66196
850,2.70876
860,2.76262
870,2.83993
880,2.86011
890,2.9046
900,2.93768
910,2.94515
920,2.89265
930,2.82511
940,2.80843
950,2.73684
960,2.69208
970,2.71129
980,2.67235
990,2.55749
1000,2.38236
1010,2.18662
1020,2.18743
1030,2.27046
1040,2.38227
1050,2.51068
1060,2.67659
1070,2.66019
1080,2.70783
1090,2.7092
1100,2.6791
1110,2.80936
1120,2.79931
1130,2.84679
1140,2.86263
1150,2.88688
1160,2.92254
1170,2.90498
1180,2.95218
1190,2.96889
1200,2.95772
1210,2.95905
1220,2.95782
1230,2.94947
1240,2.93965
1250,2.93482
1260,2.84009
1270,2.78401
1280,2.76057
1290,2.67728
1300,2.64911
1310,2.65934
1320,2.65334
1330,2.66562
1340,2.49621
1350,2.3954
1360,2.29445
1370,2.32901
1380,2.47779
1390,2.58993
1400,2.64528
1410,2.68094
1420,2.69068
1430,2.65962
1440,2.70401
1450,2.75997
1460,2.79742
1470,2.83658
1480,2.84082
1490,2.86995
1500,2.87377
1510,2.84266
1520,2.81561
1530,2.80823
1540,2.79682
1550,2.78499
1560,2.7828
1570,2.79005
1580,2.81061
1590,2.82206
1600,2.81281
1610,2.81184
1620,2.80731
1630,2.80642
1640,2.80142
1650,2.80529
1660,2.81497
1670,2.818
1680,2.80845
1690,2.79317
1700,2.78225
1710,2.78921
1720,2.77741
1730,2.76314
1740,2.76588
1750,2.75674
1760,2.75993
1770,2.76111
1780,2.75945
1790,2.73879
1800,2.73335
1810,2.70286
1820,2.66303
1830,2.60477
1840,2.68242
1850,2.62819
1860,2.60998
1870,2.58191
1880,2.56862
1890,2.5698
1900,2.55232
1910,2.53425
1920,2.50849
1930,2.48746
1940,2.48948
1950,2.46364
1960,2.47687
1970,2.45582
1980,2.45269
1990,2.42399
2000,2.42057
2010,2.4119
2020,2.40164
2030,2.41608
2040,2.4273
2050,2.44076
2060,2.4674
2070,2.50438
2080,2.54009
2090,2.5548
2100,2.56534
2110,2.5726
2120,2.55272
2130,2.54214
2140,2.52412
2150,2.50249
2160,2.48612
2170,2.46174
2180,2.44428
2190,2.42496
2200,2.40454
2210,2.41453
2220,2.47471
2230,2.50732
2240,2.50835
2250,2.49432
2260,2.45987
2270,2.40499
2280,2.36434
2290,2.31357
2300,2.26273
2310,2.26747
2320,2.30977
2330,2.3707
2340,2.47361
2350,2.54585
2360,2.59373
2370,2.64966
2380,2.67897
2390,2.70449
2400,2.71404
2410,2.71277
2420,2.7165
2430,2.71868
2440,2.72119
2450,2.7271
2460,2.73014
2470,2.73593
2480,2.74807
