H                  0 0.145D+03 0.205D+01 0.000D+00 0.000D+00 0.000D+00
O                  0 0.800D+02 0.275D+01 0.000D+00 0.000D+00 0.000D+00
OH                 1 0.800D+02 0.275D+01 0.000D+00 0.000D+00 0.000D+00
HO2                2 0.107D+03 0.346D+01 0.000D+00 0.000D+00 0.100D+01
H2O2               2 0.107D+03 0.346D+01 0.000D+00 0.000D+00 0.380D+01
CH                 1 0.800D+02 0.275D+01 0.000D+00 0.000D+00 0.000D+00
HCO                2 0.498D+03 0.359D+01 0.000D+00 0.000D+00 0.000D+00
CH2-1              1 0.144D+03 0.380D+01 0.000D+00 0.000D+00 0.000D+00
CH2-3              1 0.144D+03 0.380D+01 0.000D+00 0.000D+00 0.000D+00
CH2O               2 0.498D+03 0.359D+01 0.000D+00 0.000D+00 0.200D+01
CH3                1 0.144D+03 0.380D+01 0.000D+00 0.000D+00 0.000D+00
CH3O               2 0.417D+03 0.369D+01 0.170D+01 0.000D+00 0.200D+01
CH3O2              2 0.482D+03 0.363D+01 0.000D+00 0.000D+00 0.100D+01
CH4                2 0.141D+03 0.375D+01 0.000D+00 0.260D+01 0.130D+02
CH3O2H             2 0.482D+03 0.363D+01 0.000D+00 0.000D+00 0.100D+01
C2H                1 0.209D+03 0.410D+01 0.000D+00 0.000D+00 0.250D+01
HCCO               2 0.150D+03 0.250D+01 0.000D+00 0.000D+00 0.100D+01
C2H2               1 0.209D+03 0.410D+01 0.000D+00 0.000D+00 0.250D+01
CH2CO              2 0.436D+03 0.397D+01 0.000D+00 0.000D+00 0.200D+01
C2H3               2 0.209D+03 0.410D+01 0.000D+00 0.000D+00 0.100D+01
CH2CHO             2 0.436D+03 0.397D+01 0.000D+00 0.000D+00 0.200D+01
CH3CO              2 0.436D+03 0.397D+01 0.000D+00 0.000D+00 0.200D+01
C2H4               2 0.281D+03 0.397D+01 0.000D+00 0.000D+00 0.150D+01
CH3CHO             2 0.436D+03 0.397D+01 0.000D+00 0.000D+00 0.200D+01
C2H5               2 0.252D+03 0.430D+01 0.000D+00 0.000D+00 0.150D+01
C2H5O              2 0.225D+03 0.416D+01 0.000D+00 0.000D+00 0.100D+01
C3H2               2 0.209D+03 0.410D+01 0.000D+00 0.000D+00 0.100D+01
C3H3               2 0.252D+03 0.476D+01 0.000D+00 0.000D+00 0.100D+01
C3H4               1 0.252D+03 0.476D+01 0.000D+00 0.000D+00 0.100D+01
C3H5               2 0.260D+03 0.485D+01 0.000D+00 0.000D+00 0.100D+01
C3H6               2 0.267D+03 0.498D+01 0.000D+00 0.000D+00 0.100D+01
N-C3H7             2 0.267D+03 0.498D+01 0.000D+00 0.000D+00 0.100D+01
C3H8               2 0.267D+03 0.498D+01 0.000D+00 0.000D+00 0.100D+01
C4H2               1 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
N-C4H3             2 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
N-C4H5             2 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
C4H7               2 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
C4H8-1             2 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
C4H9-1             2 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
C6H3               2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
N-C6H5             2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
C6H5O              2 0.450D+03 0.550D+01 0.000D+00 0.000D+00 0.100D+01
C6H5OH             2 0.450D+03 0.550D+01 0.000D+00 0.000D+00 0.100D+01
A1                 2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
A1-                2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
A1C2H              2 0.536D+03 0.571D+01 0.000D+00 0.000D+00 0.100D+01
A1C2H-             2 0.536D+03 0.571D+01 0.000D+00 0.000D+00 0.100D+01
A1C2H*             2 0.536D+03 0.571D+01 0.000D+00 0.000D+00 0.100D+01
N-A1C2H2           2 0.536D+03 0.571D+01 0.000D+00 0.000D+00 0.100D+01
I-A1C2H2           2 0.536D+03 0.571D+01 0.000D+00 0.000D+00 0.100D+01
CO                 1 0.981D+02 0.365D+01 0.000D+00 0.195D+01 0.180D+01
CO2                1 0.244D+03 0.376D+01 0.000D+00 0.265D+01 0.210D+01
H2                 1 0.380D+02 0.292D+01 0.000D+00 0.790D+00 0.280D+03
H2O                2 0.572D+03 0.260D+01 0.184D+01 0.000D+00 0.400D+01
O2                 1 0.107D+03 0.346D+01 0.000D+00 0.160D+01 0.380D+01
AR                 0 0.136D+03 0.333D+01 0.000D+00 0.000D+00 0.000D+00
N2                 1 0.975D+02 0.362D+01 0.000D+00 0.176D+01 0.400D+01
HOCH2O             2 0.471D+03 0.441D+01 0.000D+00 0.000D+00 0.150D+01
HOCHO              2 0.436D+03 0.397D+01 0.000D+00 0.000D+00 0.200D+01
OCHO               2 0.498D+03 0.359D+01 0.000D+00 0.000D+00 0.200D+01
O2CHO              2 0.498D+03 0.359D+01 0.000D+00 0.000D+00 0.200D+01
HO2CHO             2 0.498D+03 0.359D+01 0.000D+00 0.000D+00 0.200D+01
C5H11-1            1 0.357D+03 0.518D+01 0.000D+00 0.000D+00 0.100D+01
C5H11-2            1 0.252D+03 0.430D+01 0.000D+00 0.000D+00 0.150D+01
L-C7H14            2 0.412D+03 0.535D+01 0.000D+00 0.000D+00 0.100D+01
